DESTINATION_AIRPORT_NUMBER,DESTINATION_AIRPORT
173,Manchester-Boston Regional Airport
79,Duluth International Airport
115,Green Bay-Austin Straubel International Airport
10,Appleton International Airport
92,Falls International Airport
22,Bemidji Regional Airport
95,Ford Airport
236,Rhinelander-Oneida County Airport
231,Range Regional Airport (Chisholm-Hibbing Airport)
0,Aberdeen Regional Airport
35,Brainerd Lakes Regional Airport
41,Capital Region International Airport ( Lansing Capital City)
45,Central Wisconsin Airport
170,MBS International Airport
111,Grand Forks International Airport
144,Kalamazoo/Battle Creek International Airport
151,La Crosse Regional Airport
240,Rochester International Airport
282,Trenton Mercer Airport
69,Del Norte County Airport (Jack McNamara Field)
11,Arcata Airport
233,Redding Municipal Airport
267,Southwest Oregon Regional Airport (North Bend Municipal)
262,Sitka Rocky Gutierrez Airport
216,Petersburg James A. Johnson Airport
307,Yakutat Airport
20,Baton Rouge Metropolitan Airport
255,Sarasota-Bradenton International Airport
50,Cherry Capital Airport
98,Fort Wayne International Airport
195,Muskegon County Airport
129,Houghton County Memorial Airport
2,Abraham Lincoln Capital Airport
270,St. Cloud Regional Airport
19,Barkley Regional Airport
54,Chippewa Valley Regional Airport
48,Charlottesville-Albemarle Airport
30,Blue Grass Airport
215,Pensacola International Airport (Pensacola Gulf Coast Regional Airport)
135,Jackson-Evers International Airport
309,Yeager Airport
88,Erie International Airport
296,Westchester County Airport
86,Elmira/Corning Regional Airport
59,Columbia Metropolitan Airport
288,University Park Airport
190,Mobile Regional Airport
159,Lehigh Valley International Airport
239,Roanoke Regional Airport (Woodrum Field)
78,Dubuque Regional Airport
289,University of Illinois - Willard Airport
60,Columbia Regional Airport
174,Manhattan Regional Airport
49,Chattanooga Metropolitan Airport (Lovell Field)
281,Toledo Express Airport
90,Evansville Regional Airport
295,Waterloo Regional Airport
261,Sioux Gateway Airport
257,Sawyer International Airport
175,McAllen-Miller International Airport (McAllen Miller International)
62,Corpus Christi International Airport
83,Easterwood Airport
298,Wichita Falls Municipal Airport/Sheppard AFB
247,San Angelo Regional Airport (Mathis Field)
133,Jack Brooks Regional Airport (Southeast Texas Regional)
82,East Texas Regional Airport
36,Brownsville/South Padre Island International Airport
157,Lawton-Fort Sill Regional Airport
183,Meridian Regional Airport
154,Lake Charles Regional Airport
191,Monroe Regional Airport
287,Tyler Pounds Regional Airport
148,Killeen-Fort Hood Regional Airport
73,Destin-Fort Walton Beach Airport/Eglin AFB
118,Gulfport-Biloxi International Airport
97,Fort Smith Regional Airport
193,Montgomery Regional Airport
156,Laredo International Airport
8,Alexandria International Airport
293,Waco Regional Airport
278,Texarkana Regional Airport (Webb Field)
275,Tallahassee International Airport
244,Roswell International Air Center
1,Abilene Regional Airport
44,Central Nebraska Regional Airport
102,Garden City Regional Airport
141,Joplin Regional Airport
117,Guam International Airport
211,Pago Pago International Airport (Tafuna Airport)
306,Wrangell Airport
9,Alpena County Regional Airport
70,Delta County Airport
53,Chippewa County International Airport
214,Pellston Regional Airport of Emmet County
196,Myrtle Beach International Airport
164,Long Island MacArthur Airport
207,Northwest Florida Beaches International Airport
15,Atlantic City International Airport
12,Arnold Palmer Regional Airport
305,Worcester Regional Airport
273,Stewart International Airport
182,Mercedita Airport
303,Wilmington Airport
292,Valley International Airport
158,Lea County Regional Airport
180,Melbourne International Airport
147,Key West International Airport
67,Daytona Beach International Airport
16,Augusta Regional Airport (Bush Field)
93,Fayetteville Regional Airport
101,Gainesville Regional Airport
284,Tri-Cities Regional Airport
126,Henry E. Rohlsen Airport
304,Wilmington International Airport
110,Golden Triangle Regional Airport
6,Albert J. Ellis Airport
266,Southwest Georgia Regional Airport
77,Dothan Regional Airport
291,Valdosta Regional Airport
37,Brunswick Golden Isles Airport
58,Coastal Carolina Regional Airport (Craven County Regional)
61,Columbus Metropolitan Airport
221,Plattsburgh International Airport
201,Niagara Falls International Airport
205,Northeast Florida Regional Airport (St. Augustine Airport)
75,Devils Lake Regional Airport
122,Hattiesburg-Laurel Regional Airport
